Note nr,Distance,Condition,Combo,Accuracy
0,0.02968544,Good,1,100
1,0.003342927,Perfect,2,100
2,0.005952775,Perfect,3,100
3,0.01952696,Perfect,4,100
4,0.02356312,Good,5,100
5,0.0769811,Bad,6,100
6,0.02232042,Good,7,100
7,0.01392972,Perfect,8,100
8,0.04802141,Good,9,100
9,0.04802108,Good,10,100
10,0.04779214,Good,11,100
11,0.0337607,Good,12,100
12,0.04730493,Good,13,100
13,0.04730558,Good,14,100
14,0.01824683,Perfect,15,100
15,0.01824674,Perfect,16,100
16,0.01992196,Perfect,17,100
17,0.1065265,Bad,18,100
18,0.01818556,Perfect,19,100
19,0.0001923442,Perfect,20,100
20,0.01823863,Perfect,21,100
21,0.01823759,Perfect,22,100
22,0.03327563,Good,23,100
23,0.0951485,Bad,24,100
24,0.07619649,Bad,25,100
25,0.01858777,Perfect,26,100
26,0.06179595,Bad,27,100
27,0.06179565,Bad,28,100
28,0.05429375,Bad,29,100
29,0.05429322,Bad,30,100
30,0.01584461,Perfect,31,100
31,0.01584446,Perfect,32,100
32,0.02407452,Good,33,100
33,0.1251193,Bad,34,100
34,0.0556798,Bad,35,100
35,0.05567932,Bad,36,100
36,0.03685123,Good,37,100
37,0.1326728,Bad,38,100
38,0.03093219,Good,39,100
39,0.01520675,Perfect,40,100
40,0.07197404,Bad,41,100
41,0.05838794,Bad,42,100
42,0.003002703,Perfect,43,100
43,0.0252949,Good,44,100
44,0.06001228,Bad,45,100
45,0.0320251,Good,46,100
46,0.04583052,Good,47,100
47,0.03187817,Good,48,100
48,0.04324207,Good,49,100
49,0.0291357,Good,50,100
50,0.0633769,Bad,51,100
51,0.06205475,Bad,52,100
52,0.02065575,Good,53,100
53,0.007754266,Perfect,54,100
54,0.03748369,Good,55,100
55,0.03748387,Good,56,100
56,0.02510744,Good,57,100
57,0.002720535,Perfect,58,100
58,0.02027661,Good,59,100
59,0.006826222,Perfect,60,100
60,0.008067727,Perfect,61,100
61,0.008068323,Perfect,62,100
62,0.02168733,Good,63,100
63,0.02168706,Good,64,100
64,0.03089446,Good,65,100
65,0.01523197,Perfect,66,100
66,0.03148469,Good,67,100
67,0.0203318,Good,68,100
68,0.02453202,Good,69,100
69,0.01134944,Perfect,70,100
70,0.02528769,Good,71,100
